,Comments_lem
987,j ai commandé dyson v samedi octobre car vente indiqué vente h livrison garantie octobre moment paiement vois qu il débitent immédiatement statut passe préparation date livraison octobre là coup chaud car déménage jour depuis rien évolué j appelle donc service après vente confirment colis a expédié qu il savent quand fait aucun délai n est donné disent pouvoir changer l adresse livraison alors l envoi n est fait qu il faut attendre qu il l envoient livreur puisse livrer qu il revienne dépôt pouvoir choisir nouvelle adresse vraie histoire fous déconseille fortement tout achat site édit livraison reçue vente h max débit immédiat alors devait être fait expédition livraison exécutée réellement jours procédé franchement honteux recommande vendeur
988,commandes réception d article totalement différents j avais commandé on a jours renvoyer donc période vacances c est possible commande renvoyée plusieurs semaines d attente remboursement plus déduisent frais port fois
989,comprends cliente depuis longtemps cela fait plusieurs fois depuis an j ai soucis livraisons pdts manquants plus réponse mail termine bonne fois pr tte j ai commande chevaux schleich pr fille colis jamais reçu malgré faux envoi mail showroom remboursement idem répondent mail vais déposer plainte car envoyer faux mail d envoi illégal leurs pratiques devenues celles bandit gen malhonnêtes bien beau passer télé derrière c est juste minable n ont produits ah oui parce que final j ai aussi mail comme quoi commande incomplète comme dernière fois vente undiz donc voilà fille a jamais reçu chevaux pr le moment m assois commande passée a mois laissez berner prix pub alors bonne chance
990,deux commandes passées deux article reçus correspondent rien ceux commandés je très mécontente puisque coup article voulus choisis fois peux comprendre deux fois ça commence devenir agaçant plus attentifs vérifiez références avant mettre envoi pense dorénavant commanderai plus chez showroom
991,après avoir passer commande eur bloque lendemain sans explication j appelle service client savoir personne bout fils fais savoir qu elle connaît raison commande a également annulée j attends juste qu on rembourse effacer cette application téléphone
993,commande d un canapé gruhier convertible c est tout simplement publicité mensongère produit qualité médiocre tissus fin gratte cerise gâteau livré mauvais côté donc impossible monter prix showroom presque vendu vaut peine commerce c est er prix tout
994,cliente fidèle showroomprivé depuis années ce derniers temp beaucoup d erreurs envoi aucun geste commercial erreurs alors cela occasionne frais temp essence renvoi colis dernière erreur date commande kipling sac do cartable roulette j ai reçu sac n avaient rien voir réponse showroomprivé désolé c est fille va être déçue avoir cartable qu elle choisi résultat j arrête commander chez showroomprivé je pire déçue chez vente privée ca d erreur a automatiquement bon d achat ça compense minimum
995,achète vêtements fils hugo bos lovely jane cavalli super contente reçu avant date prévue dépense plus après avoir lu tout mauvaise commentaire stressé franchement très très contente merci showroomprive
996,jai acheté basket sans savoir etait pointure américaine donc jai reçu lieu d un là jai commandé console meuble jai reçu table basse jai effectué retour ya semaine j attends sans réponse
997,problème toujours résolu dénommé ayoub a recontacté a dit recontacte sans faute mardi problème résolu toujours rien deuxième mardi
998,j ai commandé fois site a chaque fois commande annulée après mois d attente
999,jours l assistante showroom a indiqué mr ayoub rappelait régler problème toujours aucune nouvelle
1000,nul nul chez nulaucun suivi service apres vente balladent d un service a autre je recommande tout le pires
1001,vraiment nul a fuir toute urgence colis noté livré destinataire jamais récupéré mois enquête toujours point fuyez applis chiottes
1002,jai reçu ensemble cuisine bisetti tout arriver exploser plus très mauvaise qualitee aucun contact
1003,dégoûté commande faite jean ressemble a rien dirai sac a patate commandes chaussure marque arrive boite marque commander jai lâcher e j ai peur reste terrible dernière fois commande
1004,j effectue souvent achats showroom fois si c est article manque dit c est grave vais rendre toute commande truc petit autre fois c est ceinture chaussures totalement déchiré j ai payer retour cerise gâteau a mois j ai commander sac furla ceinture furla jours après sac sac l ai reçu sans problème retard deux jours ceinture ca fait maintenant mois sachant bien c est cadeau a offrir a chaque fois demande sort excuse cours d acheminement a casa j ai fais d autre achats après j ai reçu ca donc jusqu mnt aucune nouvelle c est sérieux engagement showroom plus respecter comme avant c est honteux
1005,problème paire créoles achetée chez showroomprive com après message restés sans réponse compte client décidé poster avis site trustpilot com ayoub conseiller service client showroomprive a répondu avis publié site a ensuite contactée téléphone demande a prise considération entièrement satisfaite réponse service client showroomprive com
1006,j ai retourné article emballage d origine délais jours refusent rembourser aucune explication partagé alors lorsque c est envoie mauvais article commandes envoyer article commandes pouvons réclamer service client incapable revenir explication claires recommande
1007,commandé octobre h matin vêtements enfants vp z ceux ci devaient être livrés lendemain chronopost point relai côté chez si commandait avant h bien sûr payé plus cher cette prestation magasin a toujours colis dit repasser lundi octobre donc conseil payez plus cher prenant chronopost délais respectés
